Symbol,FiscalDateEnding,TotalRevenue,GrossProfit,NetIncome,OperatingIncome,OperatingMargin,TotalAssets,TotalLiabilities,CommonStockSharesOutstanding,TotalShareholderEquity,BVPS,Debt_to_Equity,Date
SHOP,2024-03-31,1861.0,957.0,-273.0,86.0,4.6211714132187,11112.0,2219.0,1287.377,8893.0,6.91,0.25,2025-12-30
SHOP,2023-12-31,2144.0,1062.0,657.0,289.0,13.479477611940299,11299.0,2233.0,1297.296,9066.0,6.99,0.25,2025-12-30
SHOP,2023-09-30,1714.0,901.0,718.0,122.0,7.117852975495915,10464.0,2180.0,1295.83,8284.0,6.39,0.26,2025-12-30
SHOP,2023-06-30,1694.0,835.0,-1311.0,-1636.0,-96.57615112160568,9703.0,2240.0,1280.408,7463.0,5.83,0.3,2025-12-30
SHOP,2023-03-31,1508.0,717.0,68.0,-193.0,-12.79840848806366,10964.0,2507.0,1291.682,8457.0,6.55,0.3,2025-12-30
SHOP,2022-12-31,1734.978,798.508,-623.694,-188.749,-10.87904284665281,10757.0,2518.0,1273.339,8239.0,6.47,0.31,2025-12-30
SHOP,2022-09-30,1366.0,662.0,-159.0,-346.0,-25.329428989751097,11203.285,2510.277,1269.425,8693.008,6.85,0.29,2025-12-30
SHOP,2022-06-30,1295.0,656.0,-1204.0,-190.0,-14.671814671814673,10747.63,2030.502,1262.012,8717.128,6.91,0.23,2025-12-30
SHOP,2022-03-31,1204.0,638.0,-1474.0,-98.0,-8.13953488372093,11834.457,2044.862,1260.131,9789.595,7.77,0.21,2025-12-30
SHOP,2021-12-31,1380.024,692.659,-371.311,14.404,1.0437499637687462,13340.172,2206.831,1257.348,11133.341,8.85,0.2,2025-12-30
SHOP,2021-09-30,1123.74,608.909,1148.432,-4.101,-0.3649420684499973,13536.518,2166.241,1276.192,11370.277,8.91,0.19,2025-12-30
SHOP,2021-06-30,1119.445,620.86,879.093,139.441,12.456261808306795,11955.678,1835.134,1274.751,10120.544,7.94,0.18,2025-12-30
SHOP,2021-03-31,988.647,558.716,1258.445,118.899,12.026436129376815,10824.888,1683.017,1266.744,9141.871,7.22,0.18,2025-12-30
SHOP,2020-12-31,977.744,504.388,123.872,112.541,11.510272627599862,7762.905,1362.182,1254.549,6400.723,5.1,0.21,2025-12-30
SHOP,2020-09-30,767.405,405.148,191.068,50.561,6.588567966067462,7462.031,1285.202,1249.083,6176.829,4.95,0.21,2025-12-30
SHOP,2020-06-30,714.341,375.034,35.998,0.284,0.039756922814174186,5098.439,469.5,1227.5,4628.939,3.77,0.1,2025-12-30
SHOP,2020-03-31,470.001,256.95,-31.429,-73.233,-15.581456209667637,3470.916,430.065,1168.065,3040.851,2.6,0.14,2025-12-30
SHOP,2019-12-31,505.16,263.891,0.771,-30.079,-5.954351096682239,3489.479,473.745,1160.272,3015.734,2.6,0.16,2025-12-30
SHOP,2019-09-30,390.552,216.696,-72.784,-35.658,-9.130154243224974,3188.935,368.876,1130.87,2820.059,2.49,0.13,2025-12-30
