Date,Open,High,Low,Close,Volume,Symbol,ma_10,ma_30,ma_50,ma_100,ma_200,RSI Options Rate,macd,MACD Signal,fi,fib_0%,fib_23.6%,fib_38.2%,fib_50%,fib_61.8%,fib_76.4%,fib_100%,fib_signal,SentimentScore,Fundamental_Weight,Monthly Return (%),combined_signal,final_trade,Buy Streak,Sell Streak,trade_value,Adj Close
2025-12-24,48.41,48.94,47.6,48.22,3.13,UPST,47.7,43.76,45.0,53.87,55.04,53.8,1.14,0.86,-49.42,49.76,48.61,47.9,47.32,46.75,46.04,44.89,1,,,,24.16,HOLD,0,0,0,
2025-12-24,817.41,828.0,817.41,824.77,1.79,URI,814.61,810.59,848.83,893.53,795.3,55.27,-6.44,-11.45,-25.8,821.58,814.79,810.59,807.2,803.8,799.6,792.81,-1,,,,17.08,HOLD,0,0,0,
2025-12-24,166.0,167.5,164.62,166.87,0.0,VRT,162.58,170.05,175.71,158.4,130.95,38.89,-3.34,-2.67,69.1,167.96,166.51,165.62,164.9,164.17,163.28,161.83,-1,,,,18.08,HOLD,0,0,0,
2025-12-24,103.99,106.15,103.91,105.43,4.87,WIX,103.35,105.11,117.91,133.09,146.67,55.17,-3.24,-5.12,8.21,106.86,105.78,105.12,104.58,104.04,103.38,102.3,-1,,,,-10.92,HOLD,0,34,0,
2025-12-23,138.17,138.92,137.64,138.36,4.9,A,139.35,145.36,145.1,135.08,124.3,25.36,-2.38,-1.57,11.19,139.19,138.49,138.06,137.71,137.36,136.93,136.23,-1,,,,32.4,HOLD,0,0,0,
2025-12-23,270.84,272.45,269.56,272.36,3.09,AAPL,274.48,275.25,270.43,254.05,229.93,24.29,0.37,1.73,18.71,274.6,272.79,271.68,270.78,269.87,268.76,266.95,1,,,,69.48,BUY,73,0,50,
2025-12-23,357.47,359.67,350.58,352.42,8.19,ADBE,352.53,335.71,337.79,344.56,364.07,68.42,6.38,4.63,26.52,358.34,354.93,352.82,351.11,349.4,347.29,343.88,1,,,,47.48,HOLD,4,0,0,
2025-12-23,212.85,217.03,212.28,214.9,1.51,AMD,211.28,219.68,229.71,200.56,159.77,47.35,-4.09,-4.42,-72.32,220.17,214.83,211.52,208.85,206.18,202.87,197.53,-1,,,,41.48,HOLD,0,0,0,
2025-12-23,229.05,232.45,228.73,232.14,8.13,AMZN,226.93,229.44,229.75,227.75,215.97,49.63,-0.88,-1.22,-8.47,229.23,227.29,226.08,225.11,224.14,222.93,220.99,0,,,,70.28,BUY,1,0,50,
2025-12-23,129.32,131.72,129.25,131.32,0.3,ANET,128.37,127.76,135.98,138.53,114.94,55.66,-1.37,-2.31,28.75,134.0,131.08,129.27,127.81,126.36,124.55,121.63,-1,,,,42.48,HOLD,0,0,0,
2025-12-23,727.38,737.0,710.25,728.45,1.51,APP,697.83,631.3,622.78,581.32,454.22,62.91,30.42,26.44,-11.0,738.01,718.18,705.92,696.01,686.09,673.83,654.0,0,,,,74.48,BUY,6,0,50,
2025-12-23,340.93,350.11,338.54,349.32,11.58,AVGO,354.2,364.42,361.05,341.94,284.17,39.53,-6.66,-1.13,-35.97,413.82,391.87,378.29,367.31,356.34,342.76,320.81,0,,,,21.48,HOLD,0,0,0,
2025-12-23,174.26,175.58,173.08,174.82,5.62,BIIB,173.77,173.9,164.12,152.29,140.31,39.95,2.05,3.33,73.83,177.29,175.23,173.96,172.92,171.89,170.62,168.56,1,,,,51.84,BUY,3,0,50,
2025-12-23,1085.55,1091.74,1083.4,1086.55,0.26,BLK,1078.95,1055.06,1078.52,1102.96,1035.51,54.67,3.69,0.69,61.0,1083.75,1077.54,1073.7,1070.6,1067.5,1063.66,1057.45,1,,,,29.28,HOLD,0,0,0,
2025-12-23,580.5,588.71,580.5,582.42,10.46,CAT,588.63,576.48,564.39,504.01,427.01,46.67,5.55,9.57,-29.96,627.5,610.97,600.74,592.48,584.22,573.99,557.46,1,,,,58.4,BUY,2,0,50,
2025-12-23,243.25,245.18,238.8,242.3,4.92,COIN,253.33,263.78,291.08,308.6,284.59,25.84,-12.21,-11.8,-35.71,254.87,251.15,248.85,246.99,245.12,242.82,239.1,0,,,,-22.72,SELL,0,9,-50,
2025-12-23,262.71,264.24,260.52,263.43,4.39,CRM,259.97,245.73,247.62,245.78,256.48,75.72,5.48,4.38,62.15,264.63,262.48,261.14,260.07,258.99,257.65,255.5,1,,,,83.48,BUY,5,0,50,
2025-12-23,82.28,83.7,78.7,80.26,23.56,CRWV,77.63,78.25,97.55,106.56,0.0,50.68,-4.29,-5.81,-3.48,87.31,81.76,78.33,75.55,72.78,69.35,63.8,0,,,,-10.52,HOLD,0,0,0,
2025-12-23,126.95,128.12,125.01,126.87,8.21,CVLT,123.82,123.31,135.45,159.32,164.54,57.32,-2.16,-3.96,33.37,128.77,126.23,124.66,123.39,122.11,120.54,118.0,-1,,,,15.48,HOLD,0,0,0,
2025-12-23,233.29,233.98,230.1,232.7,1.7,DASH,228.13,213.59,227.94,243.46,225.91,60.05,3.34,0.93,71.05,239.0,234.79,232.19,230.09,227.99,225.39,221.18,1,,,,40.28,HOLD,0,0,0,
2025-12-23,48.62,49.44,47.33,48.93,6.37,DOCN,47.31,46.35,44.61,39.43,34.77,58.91,0.92,0.95,-48.98,51.9,49.99,48.81,47.86,46.9,45.72,43.81,1,,,,,HOLD,0,0,0,
2025-12-23,259.86,261.52,258.17,260.46,20.28,FFIV,259.94,245.32,258.43,290.63,285.46,73.79,1.97,-0.01,21.91,262.62,260.12,258.58,257.33,256.08,254.54,252.04,1,,,,26.48,HOLD,0,0,0,
2025-12-23,1742.63,1749.2,1712.86,1725.78,2.61,FICO,1775.62,1769.81,1717.59,1612.01,1708.41,44.07,6.34,17.52,-5.14,1767.9,1758.1,1752.04,1747.15,1742.25,1736.19,1726.39,1,,,,24.48,HOLD,0,0,0,
